puma,year,mergeid,estimate_black_females,estimate_total_pop,percent_black_only,percent_black_women,quantile_black_women,gini_index,percent_second_mortgage,percent_owner_occupied,percent_renter_occupied,percent_vacant_housing,homeowner_vacancy_rate,rental_vacancy_rate,percent_same_house_1_year,percent_no_plumbing,percent_no_kitchen,percent_overcrowding,avg_household_size,percent_owner_cost_burdent,rent_median_dollars,percent_renter_cost_burden,median_value_home,median_income,percent_below_poverty,percent_units_mortgage,percent_hispanic,percent_white_only,percent_american_indian,percent_asian,percent_hawaiian,percent_other_race,percent_twomore_races,disability_status,total_housing_units,num_renter_occupied,num_owner_occupied,num_total_occupied,percent_born_us,english_prof,percent_college,percent_uninsured,percent_unemployed
3603806,2011,3603806 _ 2011,10285,195819,8.9,5.25229931722662,3,0.5821,14.3,31.4,68.6,13.6,3.2,4.0,84.6,1.7,2.5,1.5,1.93,23.5,1644,32.9,963100,94917,5.9,61.9,13.3,76.6,0.5,7.7,0.0,3.2,3.2,9.18733333333333,114763,67993,31105,99098,75.3,7.2,75.0,6.429999999999999,4.2
3603807,2011,3603807 _ 2011,4395,139729,6.3,3.14537426017505,2,0.5795,16.7,23.8,76.2,15.8,1.2,3.3,77.8,1.1,2.6,2.4,1.7,29.0,1711,33.0,817100,83672,7.4,63.2,15.0,71.3,0.6,13.7,0.0,4.4,3.8,8.22966666666668,93572,60007,18760,78767,71.2,9.6,69.7,9.722333333333337,5.8
3603808,2011,3603808 _ 2011,2577,146105,3.3,1.76380000684439,2,0.5247,15.6,30.4,69.6,15.9,2.0,2.6,78.9,0.3,1.0,2.0,1.76,25.5,1969,33.7,730400,100316,4.0,59.7,8.4,77.9,0.1,13.2,0.0,3.3,2.2,7.169666666666667,96348,56443,24602,81045,75.0,6.8,77.7,5.791333333333325,4.5
3603809,2011,3603809 _ 2011,6478,164276,7.9,3.94336360758723,2,0.5591,18.2,12.6,87.4,8.4,1.1,2.6,85.0,1.0,1.4,4.2,2.22,30.2,877,38.6,626100,40653,25.6,47.9,23.7,41.3,0.4,34.8,0.0,12.3,3.3,13.031666666666634,76852,61574,8858,70432,57.0,31.2,38.5,12.419666666666695,5.1
3603810,2011,3603810 _ 2011,1925,142124,2.5,1.3544510427513998,1,0.56,16.5,27.1,72.9,14.7,3.8,4.9,75.1,0.8,1.0,2.6,1.81,28.0,2001,32.9,1000001,108191,5.0,58.7,6.5,76.5,0.1,15.2,0.0,2.7,3.0,6.075000000000024,86333,53733,19950,73683,74.8,7.6,78.4,5.8013333333333295,4.0
3603901,2011,3603901 _ 2011,977,160887,1.4,0.607258510631686,1,0.3923,22.1,81.7,18.3,4.8,1.5,6.0,94.4,0.6,0.5,0.3,2.82,37.0,1201,40.3,486300,85000,3.9,73.5,9.5,93.0,0.1,4.0,0.0,0.7,0.9,9.133999999999999,59280,10349,46079,56428,85.1,6.7,29.4,4.560666666666663,3.6
3603902,2011,3603902 _ 2011,2404,132124,3.3,1.8195028912234,2,0.4274,20.3,72.9,27.1,5.8,2.0,6.6,94.0,0.4,0.6,0.5,2.75,40.2,1134,44.0,464600,73366,6.9,69.6,12.7,80.8,0.2,11.5,0.0,3.2,1.0,10.663666666666652,49747,12708,34150,46858,72.5,14.6,30.6,7.530666666666695,3.7
3603903,2011,3603903 _ 2011,22110,173023,23.7,12.778647925420302,3,0.4538,21.7,56.5,43.5,10.0,3.6,9.3,91.9,0.8,1.3,2.0,2.77,41.4,1118,47.4,401500,58923,14.9,73.1,26.7,56.7,0.3,8.4,0.0,7.8,3.1,11.036333333333332,67198,26330,34131,60461,72.9,13.5,27.0,10.57166666666665,4.9
3604001,2011,3604001 _ 2011,3835,143329,5.0,2.6756622874645,2,0.489,17.6,16.5,83.5,8.8,4.3,3.2,90.1,2.0,1.8,8.6,2.52,52.8,1140,41.5,661700,45195,25.8,55.1,25.8,80.5,0.4,5.4,0.1,6.9,1.7,10.44900000000002,61944,47216,9306,56522,69.3,27.3,37.8,13.57933333333337,4.4
3604002,2011,3604002 _ 2011,15848,131250,21.5,12.0746666666667,3,0.465,13.0,14.6,85.4,11.3,3.2,5.6,86.6,0.9,2.0,5.1,3.06,60.7,1072,48.6,507000,35299,29.0,71.9,67.9,31.5,0.4,3.7,0.0,40.7,2.2,12.801333333333327,47897,36289,6195,42484,53.5,42.2,15.2,20.564000000000007,6.1
3604003,2011,3604003 _ 2011,47519,130181,65.0,36.5022545532758,5,0.4969,17.4,21.4,78.6,15.0,5.8,5.6,89.2,1.3,1.3,3.0,2.7,57.1,953,45.8,612500,34314,28.6,75.6,19.3,21.7,0.3,2.9,0.0,8.4,1.6,10.877333333333318,56074,37464,10178,47642,75.7,12.5,21.4,13.693000000000048,7.4
3604004,2011,3604004 _ 2011,20824,119176,30.5,17.4733167751896,4,0.5571,18.1,31.3,68.7,12.1,3.2,4.5,83.4,0.9,0.9,2.2,2.12,28.6,1300,33.0,670900,68193,13.8,68.1,16.8,49.9,0.2,7.0,0.0,8.0,4.4,9.115666666666685,59299,35822,16296,52118,76.9,9.7,57.4,10.857666666666717,6.0
3604005,2011,3604005 _ 2011,5881,112669,9.4,5.21971438461334,3,0.4941,23.7,35.4,64.6,8.5,2.0,2.6,84.8,0.4,1.0,1.2,2.29,26.3,1602,30.4,901100,86401,8.0,72.3,19.1,69.0,0.4,6.1,0.0,11.4,3.7,8.033999999999983,53248,31475,17263,48738,78.3,8.7,65.9,9.505999999999988,5.3
3604006,2011,3604006 _ 2011,48024,121900,69.1,39.3962264150943,5,0.5122,15.4,19.0,81.0,10.6,4.3,5.3,88.2,1.0,0.7,2.6,2.37,49.0,1021,44.6,603700,40058,24.0,74.2,11.6,18.8,0.1,3.0,0.2,6.6,2.1,10.287333333333331,56157,40668,9533,50201,66.5,7.1,31.1,14.776999999999983,7.1
