zip,month,year,price_index
10002,Feb,2015,$1.04M
10002,Jan,2015,$1.03M
10002,Nov,2014,$1.02M
10002,Sep,2014,$1.01M
10002,Aug,2014,$1.01M
10002,Jun,2014,$1.00M
10002,May,2014,$985K
10002,Apr,2014,$968K
10002,Mar,2014,$950K
10002,Feb,2014,$939K
10002,Jan,2014,$934K
10002,Dec,2013,$932K
10002,Nov,2013,$928K
10002,Oct,2013,$922K
10002,Aug,2013,$910K
10002,Jul,2013,$901K
10002,Jun,2013,$890K
10002,May,2013,$889K
10002,Apr,2013,$888K
10002,Mar,2013,$889K
10002,Feb,2013,$881K
10002,Jan,2013,$867K
10002,Dec,2012,$852K
10002,Oct,2012,$840K
10002,Sep,2012,$833K
10002,Aug,2012,$833K
10002,Jul,2012,$830K
10002,Jun,2012,$831K
10002,Mar,2012,$841K
10002,Feb,2012,$844K
10002,Jan,2012,$844K
10002,Nov,2011,$837K
10002,Oct,2011,$830K
10002,Sep,2011,$829K
10002,Jul,2011,$832K
10002,Jun,2011,$832K
10002,May,2011,$824K
10002,Apr,2011,$815K
10002,Mar,2011,$809K
10002,Dec,2011,$842K
10002,Apr,2012,$838K
10002,Sep,2013,$920K
10002,Oct,2014,$1.02M
10002,Dec,2014,$1.02M
10002,Mar,2015,$1.05M
10002,Jul,2015,$1.07M
10002,Aug,2015,$1.08M
10002,Sep,2016,$1.10M
10002,Oct,2017,$978K
10002,Dec,2017,$983K
10002,Jan,2018,$976K
10002,Feb,2018,$981K
10002,Mar,2018,$982K
10002,Apr,2018,$995K
10002,Jun,2018,$1.01M
10002,Jul,2018,$1.00M
10002,Sep,2018,$993K
10002,Oct,2018,$1.00M
10002,Sep,2020,$1.08M
10002,Nov,2018,$1.01M
10002,Feb,2016,$1.09M
10002,Nov,2012,$841K
10002,Aug,2011,$829K
10002,Aug,2016,$1.10M
10002,Apr,2017,$1.08M
10003,Mar,2012,$889K
10003,May,2012,$878K
10003,Jan,2022,$1.00M
10003,Sep,2012,$873K
10003,Nov,2012,$877K
10003,Jan,2013,$882K
10003,Mar,2013,$898K
10003,Jul,2013,$927K
10003,Sep,2013,$946K
10003,Dec,2013,$956K
10003,Jun,2014,$1.03M
